customer_id,first_name,last_name,email,phone,country,created_at
1,Zachary,Roberts,zachary@gmail.com,,MX,2024-07-03
2,Donna,Williams,donna@hotmail.com,5895790679,CN,2024-05-13
3,Dana,Kim,dana@gmail.com,,CN,2024-06-12
4,Timothy,Edwards,timothy@gmail.com,3454426564,MX,2025-09-13
5,James,Martinez,james@yahoo.com,8358273786,CN,2024-06-09
6,Karen,Barnes,karen@invalid,,UK,2025-08-24
7,Robert,Phillips,robert@hotmail.com,1681646798,UK,2025-03-24
8,Patrick,Roberts,patrick@yahoo.com,1303860732,MX,2024-01-16
9,Stephanie,Dean,stephanie@hotmail.com,8537055793,IN,2025-05-11
10,Gloria,Huerta,gloria@gmail.com,5324994778,IN,2025-06-28
11,Patricia,Washington,patricia@hotmail.com,0003949869,UK,2024-08-07
12,James,Mcknight,james@hotmail.com,3307981436,US,2025-08-19
13,Tiffany,Daniels,tiffany@gmail.com,1356531284,UK,2024-06-18
14,Lisa,Morales,lisa@hotmail.com,6862057606,DE,2024-05-05
15,Julie,Weiss,julie@gmail.com,8817153044,IN,2024-09-04
16,Phillip,Perez,phillip@hotmail.com,9940777044,CN,2025-01-22
17,Michael,Jimenez,,0913616877,IN,2023-11-18
18,Karen,Smith,karen@invalid,8977375009,UK,2025-01-14
19,Angela,Kim,angela@hotmail.com,0908180019,UK,2025-10-23
20,Kimberly,Martinez,kimberly@invalid,1654472035,UK,2023-11-17
21,Brian,Miller,brian@yahoo.com,5682587157,IN,2023-12-10
22,Eugene,Arroyo,eugene@gmail.com,3918732375,IN,2025-06-04
23,Karen,Silva,karen@invalid,4588343711,US,2024-09-09
24,Jose,Owens,jose@yahoo.com,6184004342,MX,2024-08-14
25,Darryl,Peterson,darryl@gmail.com,3681329374,US,2024-06-09
26,Walter,Huffman,walter@gmail.com,3735760040,DE,2024-02-02
27,Kenneth,Huerta,,2604231807,IN,2024-01-15
28,Ebony,Long,ebony@yahoo.com,2405787778,MX,2025-02-27
29,Teresa,Hansen,teresa@yahoo.com,7154527238,IN,2025-09-08
30,Donald,Medina,donald@yahoo.com,7455913063,DE,2024-09-21
31,Tanner,Shah,tanner@invalid,2266896280,CN,2024-09-23
32,Laura,Casey,laura@invalid,2446712388,IN,2024-07-02
33,Jodi,Olsen,jodi@hotmail.com,2521976976,IN,2024-09-07
34,Julia,Allen,julia@hotmail.com,5148922288,DE,2024-03-31
35,James,Carrillo,james@gmail.com,6946695171,UK,2025-04-01
36,Rachel,Warner,rachel@gmail.com,8658621060,US,2024-01-27
37,Mark,Lara,mark@gmail.com,,US,2024-01-30
38,Mark,Hall,,,DE,2025-02-09
39,Hailey,Perry,hailey@yahoo.com,9318635330,IN,2025-08-28
40,Steven,Perez,,1545204463,UK,2025-02-20
41,Courtney,Garcia,courtney@hotmail.com,4635522470,CN,2024-04-19
42,Rebekah,Marks,,5927903769,CN,2024-02-10
43,April,Blake,april@gmail.com,2825291345,IN,2024-03-16
44,Henry,Gross,,9524381849,DE,2025-05-08
45,Ashley,Allen,ashley@hotmail.com,7937058581,US,2024-06-17
46,Carol,Maynard,carol@gmail.com,8544014031,MX,2024-09-14
47,Sarah,Clark,sarah@gmail.com,7267257133,UK,2024-02-23
48,Beth,Fritz,,2868207632,US,2025-01-22
49,Gerald,Hendricks,gerald@hotmail.com,9595201998,IN,2024-08-16
50,Dawn,Brewer,,5388267637,IN,2025-02-18
51,Kristin,Clay,kristin@hotmail.com,1428873001,CN,2025-03-12
52,Gregory,Smith,gregory@hotmail.com,7266798642,CN,2024-06-12
53,Erica,Jones,erica@hotmail.com,9954968366,UK,2024-03-31
54,William,Stephens,william@invalid,3531059459,DE,2024-04-19
