row_num,file,column,issue,dimension,example
16,customers.csv,email,Missing email,Completeness,
26,customers.csv,email,Missing email,Completeness,
37,customers.csv,email,Missing email,Completeness,
39,customers.csv,email,Missing email,Completeness,
41,customers.csv,email,Missing email,Completeness,
43,customers.csv,email,Missing email,Completeness,
47,customers.csv,email,Missing email,Completeness,
49,customers.csv,email,Missing email,Completeness,
62,customers.csv,email,Missing email,Completeness,
66,customers.csv,email,Missing email,Completeness,
68,customers.csv,email,Missing email,Completeness,
83,customers.csv,email,Missing email,Completeness,
85,customers.csv,email,Missing email,Completeness,
89,customers.csv,email,Missing email,Completeness,
93,customers.csv,email,Missing email,Completeness,
102,customers.csv,email,Missing email,Completeness,
108,customers.csv,email,Missing email,Completeness,
123,customers.csv,email,Missing email,Completeness,
125,customers.csv,email,Missing email,Completeness,
136,customers.csv,email,Missing email,Completeness,
164,customers.csv,email,Missing email,Completeness,
167,customers.csv,email,Missing email,Completeness,
170,customers.csv,email,Missing email,Completeness,
171,customers.csv,email,Missing email,Completeness,
173,customers.csv,email,Missing email,Completeness,
186,customers.csv,email,Missing email,Completeness,
191,customers.csv,email,Missing email,Completeness,
206,customers.csv,email,Missing email,Completeness,
209,customers.csv,email,Missing email,Completeness,
0,customers.csv,phone,Missing phone,Completeness,
2,customers.csv,phone,Missing phone,Completeness,
5,customers.csv,phone,Missing phone,Completeness,
36,customers.csv,phone,Missing phone,Completeness,
37,customers.csv,phone,Missing phone,Completeness,
54,customers.csv,phone,Missing phone,Completeness,
57,customers.csv,phone,Missing phone,Completeness,
62,customers.csv,phone,Missing phone,Completeness,
69,customers.csv,phone,Missing phone,Completeness,
72,customers.csv,phone,Missing phone,Completeness,
91,customers.csv,phone,Missing phone,Completeness,
102,customers.csv,phone,Missing phone,Completeness,
105,customers.csv,phone,Missing phone,Completeness,
109,customers.csv,phone,Missing phone,Completeness,
112,customers.csv,phone,Missing phone,Completeness,
120,customers.csv,phone,Missing phone,Completeness,
141,customers.csv,phone,Missing phone,Completeness,
158,customers.csv,phone,Missing phone,Completeness,
162,customers.csv,phone,Missing phone,Completeness,
179,customers.csv,phone,Missing phone,Completeness,
180,customers.csv,phone,Missing phone,Completeness,
205,customers.csv,phone,Missing phone,Completeness,
19,products.csv,product_name,Missing product name,Completeness,
27,products.csv,product_name,Missing product name,Completeness,
42,products.csv,product_name,Missing product name,Completeness,
53,products.csv,product_name,Missing product name,Completeness,
68,products.csv,product_name,Missing product name,Completeness,
81,products.csv,product_name,Missing product name,Completeness,
86,products.csv,product_name,Missing product name,Completeness,
88,products.csv,product_name,Missing product name,Completeness,
91,products.csv,product_name,Missing product name,Completeness,
92,products.csv,product_name,Missing product name,Completeness,
93,products.csv,product_name,Missing product name,Completeness,
94,products.csv,product_name,Missing product name,Completeness,
104,products.csv,product_name,Missing product name,Completeness,
5,customers.csv,email,Invalid email format,Validity,karen@invalid
16,customers.csv,email,Invalid email format,Validity,
17,customers.csv,email,Invalid email format,Validity,karen@invalid
19,customers.csv,email,Invalid email format,Validity,kimberly@invalid
22,customers.csv,email,Invalid email format,Validity,karen@invalid
26,customers.csv,email,Invalid email format,Validity,
30,customers.csv,email,Invalid email format,Validity,tanner@invalid
31,customers.csv,email,Invalid email format,Validity,laura@invalid
37,customers.csv,email,Invalid email format,Validity,
39,customers.csv,email,Invalid email format,Validity,
41,customers.csv,email,Invalid email format,Validity,
43,customers.csv,email,Invalid email format,Validity,
47,customers.csv,email,Invalid email format,Validity,
49,customers.csv,email,Invalid email format,Validity,
53,customers.csv,email,Invalid email format,Validity,william@invalid
62,customers.csv,email,Invalid email format,Validity,
65,customers.csv,email,Invalid email format,Validity,shelly@invalid
66,customers.csv,email,Invalid email format,Validity,
68,customers.csv,email,Invalid email format,Validity,
80,customers.csv,email,Invalid email format,Validity,stephen@invalid
83,customers.csv,email,Invalid email format,Validity,
84,customers.csv,email,Invalid email format,Validity,cory@invalid
85,customers.csv,email,Invalid email format,Validity,
89,customers.csv,email,Invalid email format,Validity,
93,customers.csv,email,Invalid email format,Validity,
98,customers.csv,email,Invalid email format,Validity,heather@invalid
100,customers.csv,email,Invalid email format,Validity,peter@invalid
102,customers.csv,email,Invalid email format,Validity,
108,customers.csv,email,Invalid email format,Validity,
112,customers.csv,email,Invalid email format,Validity,melissa@invalid
123,customers.csv,email,Invalid email format,Validity,
125,customers.csv,email,Invalid email format,Validity,
129,customers.csv,email,Invalid email format,Validity,brandon@invalid
132,customers.csv,email,Invalid email format,Validity,ryan@invalid
136,customers.csv,email,Invalid email format,Validity,
144,customers.csv,email,Invalid email format,Validity,amanda@invalid
154,customers.csv,email,Invalid email format,Validity,michelle@invalid
164,customers.csv,email,Invalid email format,Validity,
167,customers.csv,email,Invalid email format,Validity,
170,customers.csv,email,Invalid email format,Validity,
171,customers.csv,email,Invalid email format,Validity,
173,customers.csv,email,Invalid email format,Validity,
177,customers.csv,email,Invalid email format,Validity,justin@invalid
181,customers.csv,email,Invalid email format,Validity,katherine@invalid
186,customers.csv,email,Invalid email format,Validity,
190,customers.csv,email,Invalid email format,Validity,ana@invalid
191,customers.csv,email,Invalid email format,Validity,
199,customers.csv,email,Invalid email format,Validity,justin@invalid
203,customers.csv,email,Invalid email format,Validity,brandon@invalid
206,customers.csv,email,Invalid email format,Validity,
209,customers.csv,email,Invalid email format,Validity,
0,customers.csv,phone,Invalid phone number,Validity,
1,customers.csv,phone,Invalid phone number,Validity,5895790679.0
2,customers.csv,phone,Invalid phone number,Validity,
3,customers.csv,phone,Invalid phone number,Validity,3454426564.0
4,customers.csv,phone,Invalid phone number,Validity,8358273786.0
5,customers.csv,phone,Invalid phone number,Validity,
6,customers.csv,phone,Invalid phone number,Validity,1681646798.0
7,customers.csv,phone,Invalid phone number,Validity,1303860732.0
8,customers.csv,phone,Invalid phone number,Validity,8537055793.0
9,customers.csv,phone,Invalid phone number,Validity,5324994778.0
10,customers.csv,phone,Invalid phone number,Validity,3949869.0
11,customers.csv,phone,Invalid phone number,Validity,3307981436.0
12,customers.csv,phone,Invalid phone number,Validity,1356531284.0
13,customers.csv,phone,Invalid phone number,Validity,6862057606.0
14,customers.csv,phone,Invalid phone number,Validity,8817153044.0
15,customers.csv,phone,Invalid phone number,Validity,9940777044.0
16,customers.csv,phone,Invalid phone number,Validity,913616877.0
17,customers.csv,phone,Invalid phone number,Validity,8977375009.0
18,customers.csv,phone,Invalid phone number,Validity,908180019.0
19,customers.csv,phone,Invalid phone number,Validity,1654472035.0
20,customers.csv,phone,Invalid phone number,Validity,5682587157.0
21,customers.csv,phone,Invalid phone number,Validity,3918732375.0
22,customers.csv,phone,Invalid phone number,Validity,4588343711.0
23,customers.csv,phone,Invalid phone number,Validity,6184004342.0
24,customers.csv,phone,Invalid phone number,Validity,3681329374.0
25,customers.csv,phone,Invalid phone number,Validity,3735760040.0
26,customers.csv,phone,Invalid phone number,Validity,2604231807.0
27,customers.csv,phone,Invalid phone number,Validity,2405787778.0
28,customers.csv,phone,Invalid phone number,Validity,7154527238.0
29,customers.csv,phone,Invalid phone number,Validity,7455913063.0
30,customers.csv,phone,Invalid phone number,Validity,2266896280.0
31,customers.csv,phone,Invalid phone number,Validity,2446712388.0
32,customers.csv,phone,Invalid phone number,Validity,2521976976.0
33,customers.csv,phone,Invalid phone number,Validity,5148922288.0
34,customers.csv,phone,Invalid phone number,Validity,6946695171.0
35,customers.csv,phone,Invalid phone number,Validity,8658621060.0
